,Age,Workclass,fnlwgt,Education,Education.Num,Marital.Status,Occupation,Race,Sex,Capital.Gain,Hours.per.week,Country,Salary
48,33,Private,364782,Some-college,10,Never-married,Handlers-cleaners,White,Female,0,20,US,<=50K
49,32,Private,364782,<=12th,6,Married,Other-service,Black,Male,0,40,US,<=50K
50,45,Private,364782,Bachelors,13,Married,Protective-serv,White,Male,0,40,US,>50K
51,41,Private,198996,Bachelors,13,Never-married,Sales,White,Female,0,45,US,>50K
52,23,Private,364782,Some-college,10,Never-married,Tech-support,White,Male,0,40,US,<=50K
53,44,Private,364782,Bachelors,13,Married,Exec-managerial,White,Male,0,40,US,>50K
54,37,Private,198996,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,<=50K
55,32,Other,198996,HS-grad,9,Never-married,Farming-fishing,White,Male,0,40,US,<=50K
56,44,Private,364782,Bachelors,13,Never-married,Sales,Black,Female,0,35,US,<=50K
57,23,Other,198996,HS-grad,9,Never-married,Sales,White,Male,0,45,US,<=50K
58,18,Private,364782,HS-grad,9,Divorced,Sales,White,Female,0,30,US,<=50K
59,17,Private,364782,<=12th,6,Never-married,Adm-clerical,White,Female,0,40,Non-US,<=50K
60,24,Private,364782,HS-grad,9,Married,Exec-managerial,White,Female,0,40,US,<=50K
61,59,Private,198996,<=12th,5,Married,Transport-moving,White,Male,0,40,US,>50K
62,18,Other,364782,<=12th,7,Never-married,?,White,Male,0,30,US,<=50K
63,46,Government,364782,Some-college,10,Married,Craft-repair,White,Male,0,40,US,>50K
64,27,Private,198996,<=12th,3,Married,Exec-managerial,White,Male,0,35,US,<=50K
65,35,Private,198996,Bachelors,13,Married,Prof-specialty,Black,Female,0,35,US,<=50K
66,18,Private,364782,<=12th,7,Never-married,Machine-op-inspct,White,Male,0,40,US,<=50K
67,35,Private,364782,Masters,14,Married,Tech-support,White,Male,0,40,US,>50K
68,39,Private,364782,Some-college,10,Divorced,Other-service,White,Female,0,30,US,<=50K
69,38,Government,198996,Prof-school,15,Married,Prof-specialty,White,Male,0,50,US,>50K
70,29,Government,364782,Some-college,10,Married,Tech-support,White,Male,0,40,US,<=50K
71,26,Private,364782,Bachelors,13,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
72,49,Private,364782,HS-grad,9,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
73,38,Private,198996,<=12th,4,Married,Other-service,White,Male,0,40,US,<=50K
74,41,Private,198996,Some-college,10,Married,Handlers-cleaners,White,Male,0,40,US,>50K
75,49,Other,364782,Masters,14,Married,Exec-managerial,White,Male,0,45,Non-US,>50K
76,26,Private,364782,Some-college,10,Divorced,Adm-clerical,Black,Female,0,20,US,<=50K
77,29,Private,364782,HS-grad,9,Divorced,Tech-support,White,Female,0,40,US,<=50K
78,40,Other,364782,Bachelors,13,Married,Exec-managerial,White,Female,0,35,US,<=50K
79,35,Other,364782,Bachelors,13,Married,Sales,White,Male,0,35,US,<=50K
80,34,Private,364782,Some-college,10,Married,Exec-managerial,White,Male,0,60,US,<=50K
81,27,Private,198996,HS-grad,9,Never-married,Other-service,White,Male,0,40,US,<=50K
82,43,Private,198996,Masters,14,Never-married,Prof-specialty,Other,Female,0,50,US,<=50K
83,49,Private,364782,Some-college,10,Never-married,Handlers-cleaners,White,Male,0,30,US,<=50K
84,44,Private,198996,Bachelors,13,Married,Exec-managerial,White,Male,0,40,US,>50K
85,44,Private,198996,<=12th,2,Married,Craft-repair,White,Male,0,45,US,<=50K
86,24,Private,364782,HS-grad,9,Never-married,Other-service,Black,Female,0,30,US,<=50K
87,47,Private,198996,HS-grad,9,Married,Machine-op-inspct,White,Male,0,40,US,<=50K
88,22,Other,364782,Assoc-voc,11,Never-married,Exec-managerial,White,Female,0,40,US,<=50K
89,32,Government,198996,Bachelors,13,Married,Exec-managerial,White,Male,0,40,US,<=50K
90,25,Private,198996,HS-grad,9,Never-married,Prof-specialty,White,Female,0,40,US,<=50K
91,29,Private,364782,HS-grad,9,Married,Transport-moving,White,Male,0,40,US,<=50K
92,37,Other,364782,Assoc-voc,11,Married,Adm-clerical,White,Male,0,40,US,<=50K
93,32,Private,364782,Assoc-acdm,12,Divorced,Exec-managerial,White,Female,0,60,US,<=50K
94,17,Other,364782,<=12th,7,Married,Exec-managerial,White,Female,0,40,US,<=50K
95,25,Private,364782,Bachelors,13,Never-married,Tech-support,White,Male,0,40,US,<=50K
96,17,Private,198996,<=12th,7,Never-married,Farming-fishing,White,Male,0,35,US,<=50K
97,35,Government,364782,Bachelors,13,Married,Prof-specialty,White,Male,0,40,Non-US,<=50K
98,35,Private,364782,Bachelors,13,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
99,33,Other,198996,Masters,14,Married,Exec-managerial,White,Male,0,45,US,<=50K
100,25,Private,364782,HS-grad,9,Never-married,Adm-clerical,Black,Male,0,40,US,<=50K
101,18,Private,364782,HS-grad,9,Never-married,Other-service,White,Male,0,40,US,<=50K
102,18,Private,364782,Some-college,10,Never-married,Sales,White,Male,0,20,US,<=50K
103,23,Private,364782,<=12th,4,Married,Adm-clerical,White,Female,0,40,US,<=50K
104,26,Private,364782,Bachelors,13,Never-married,Exec-managerial,Black,Male,0,35,US,<=50K
105,17,Other,198996,Some-college,10,Married,Farming-fishing,White,Male,0,50,US,>50K
106,51,Other,364782,Assoc-voc,11,Divorced,?,Black,Female,0,40,US,<=50K
107,34,Other,198996,HS-grad,9,Married,Other-service,White,Male,0,40,US,<=50K
108,42,Private,198996,Prof-school,15,Married,Prof-specialty,White,Male,0,40,US,<=50K
109,26,Private,198996,Some-college,10,Married,Handlers-cleaners,White,Female,0,40,Non-US,<=50K
110,38,Private,198996,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,>50K
111,34,Private,364782,Bachelors,13,Never-married,Prof-specialty,Other,Male,0,40,US,<=50K
112,27,Private,364782,HS-grad,9,Never-married,Other-service,White,Female,0,40,US,<=50K
113,28,Private,198996,HS-grad,9,Married,Machine-op-inspct,White,Male,0,40,US,<=50K
114,36,Private,364782,Some-college,10,Married,Tech-support,White,Male,0,40,US,>50K
115,28,Private,364782,HS-grad,9,Never-married,Craft-repair,White,Male,0,40,US,<=50K
116,28,Other,198996,HS-grad,9,Married,Sales,White,Male,0,40,US,<=50K
117,29,Private,364782,HS-grad,9,Never-married,Adm-clerical,White,Male,0,40,US,<=50K
118,26,Private,364782,Bachelors,13,Never-married,Sales,White,Female,0,40,US,<=50K
119,18,Private,364782,<=12th,7,Never-married,Machine-op-inspct,White,Male,0,40,US,<=50K
120,21,Other,198996,Some-college,10,Married,Farming-fishing,Black,Male,0,35,US,<=50K
121,18,Private,364782,HS-grad,9,Never-married,Other-service,White,Male,0,40,US,<=50K
122,18,Other,364782,Some-college,10,Widowed,?,White,Female,0,45,US,<=50K
123,33,Government,198996,Bachelors,13,Never-married,Prof-specialty,Black,Male,0,40,US,<=50K
124,32,Private,198996,Bachelors,13,Married,Prof-specialty,White,Female,0,40,US,<=50K
125,21,Private,198996,Some-college,10,Married,Sales,White,Female,0,40,US,<=50K
126,18,Private,364782,<=12th,6,Never-married,Sales,White,Female,0,40,US,<=50K
127,35,Other,198996,Prof-school,15,Married,Prof-specialty,Asian-Pac-Islander,Male,0,40,Non-US,>50K
128,26,Private,364782,Some-college,10,Never-married,Other-service,White,Female,0,20,US,<=50K
129,18,Government,364782,Some-college,10,Never-married,Other-service,White,Female,0,40,US,<=50K
130,37,Government,364782,Bachelors,13,Married,Prof-specialty,White,Female,0,40,US,<=50K
131,46,Private,364782,HS-grad,9,Married,Exec-managerial,White,Male,0,40,US,<=50K
132,44,Private,364782,Bachelors,13,Married,Exec-managerial,White,Male,0,40,US,<=50K
133,17,Private,364782,<=12th,6,Divorced,Machine-op-inspct,White,Female,0,20,US,<=50K
134,41,Private,364782,HS-grad,9,Never-married,Craft-repair,White,Male,0,40,US,<=50K
135,49,Private,364782,Some-college,10,Divorced,Exec-managerial,White,Male,0,40,US,>50K
136,27,Private,364782,HS-grad,9,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
137,17,Private,364782,HS-grad,9,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
138,39,Private,364782,Some-college,10,Never-married,Other-service,Black,Female,0,30,US,<=50K
139,27,Other,364782,<=12th,6,Never-married,Farming-fishing,White,Male,0,15,US,<=50K
140,43,Private,198996,Some-college,10,Married,Craft-repair,White,Male,0,40,US,>50K
141,47,Other,198996,Some-college,10,Married,Sales,White,Male,0,50,US,>50K
142,33,Private,364782,Assoc-voc,11,Divorced,Adm-clerical,White,Male,0,40,US,<=50K
143,41,Other,198996,Bachelors,13,Married,Sales,White,Male,0,40,US,>50K
144,37,Private,198996,Some-college,10,Married,Craft-repair,White,Male,0,40,US,>50K
145,42,Private,198996,Masters,14,Married,Exec-managerial,White,Female,0,45,US,>50K
146,29,Private,364782,HS-grad,9,Married,Adm-clerical,Black,Male,0,40,US,<=50K
147,22,Private,364782,HS-grad,9,Never-married,Adm-clerical,White,Female,0,35,US,<=50K
148,36,Private,364782,<=12th,7,Never-married,Other-service,White,Male,0,30,US,<=50K
149,35,Private,198996,Prof-school,15,Married,Prof-specialty,White,Male,0,40,US,>50K
150,42,Private,198996,Masters,14,Married,Prof-specialty,Black,Male,0,50,US,>50K
151,18,Other,364782,Some-college,10,Never-married,?,White,Female,0,60,US,<=50K
152,49,Private,198996,Some-college,10,Married,Sales,White,Female,0,45,US,<=50K
153,31,Private,364782,Assoc-voc,11,Never-married,Machine-op-inspct,White,Male,0,40,US,<=50K
154,25,Government,364782,<=12th,7,Never-married,Craft-repair,White,Male,0,40,US,<=50K
155,47,Private,364782,Bachelors,13,Divorced,Prof-specialty,Black,Female,0,40,US,<=50K
156,43,Private,198996,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,<=50K
157,31,Private,198996,<=12th,4,Separated,Farming-fishing,White,Male,0,45,US,<=50K
158,29,Other,198996,Bachelors,13,Never-married,Prof-specialty,Black,Male,0,40,US,<=50K
159,44,Government,198996,Masters,14,Never-married,Prof-specialty,White,Female,0,40,US,>50K
160,25,Private,198996,Bachelors,13,Never-married,Prof-specialty,White,Female,0,50,US,<=50K
161,24,Other,364782,Bachelors,13,Never-married,?,White,Female,0,45,US,<=50K
162,44,Private,198996,Some-college,10,Married,Transport-moving,White,Male,0,40,US,>50K
163,32,Private,364782,Assoc-voc,11,Married,Craft-repair,White,Male,0,40,US,<=50K
164,35,Other,198996,Bachelors,13,Married,Prof-specialty,White,Male,0,40,US,<=50K
165,25,Private,198996,HS-grad,9,Never-married,Sales,White,Male,0,45,US,<=50K
166,18,Private,198996,HS-grad,9,Never-married,Sales,White,Male,0,25,US,<=50K
167,27,Private,364782,<=12th,7,Never-married,Craft-repair,White,Male,0,40,US,<=50K
168,54,Private,364782,HS-grad,9,Never-married,Adm-clerical,White,Female,0,35,US,<=50K
169,47,Other,198996,HS-grad,9,Married,?,White,Male,0,60,US,<=50K
170,24,Private,364782,HS-grad,9,Never-married,Other-service,White,Male,0,40,US,<=50K
171,35,Private,198996,Some-college,10,Married,Tech-support,White,Male,0,40,US,>50K
172,43,Government,293690,Prof-school,15,Divorced,Prof-specialty,Other,Male,0,50,US,>50K
173,40,Private,198996,<=12th,5,Married,Machine-op-inspct,White,Male,0,45,US,<=50K
174,47,Private,364782,HS-grad,9,Never-married,Other-service,Black,Female,0,30,US,<=50K
175,50,Government,364782,<=12th,8,Never-married,Other-service,White,Male,0,40,US,<=50K
176,51,Other,198996,<=12th,4,Married,Farming-fishing,White,Male,0,40,Non-US,<=50K
177,42,Private,198996,Bachelors,13,Married,Prof-specialty,White,Male,0,50,US,>50K
178,49,Government,364782,Some-college,10,Divorced,Exec-managerial,Black,Female,0,40,US,<=50K
179,36,Private,364782,Some-college,10,Married,Tech-support,White,Male,0,40,US,<=50K
180,37,Private,198996,Bachelors,13,Married,Exec-managerial,White,Male,0,60,US,>50K
181,29,Private,364782,Bachelors,13,Never-married,Sales,White,Female,0,35,US,<=50K
182,18,Private,364782,Some-college,10,Never-married,Exec-managerial,White,Female,0,20,US,<=50K
183,22,Private,364782,Bachelors,13,Never-married,Protective-serv,White,Male,0,50,US,>50K
184,39,Private,198996,Assoc-acdm,12,Married,Adm-clerical,White,Female,0,50,Non-US,<=50K
185,32,Other,198996,HS-grad,9,Never-married,Farming-fishing,White,Male,0,30,US,<=50K
186,25,Private,364782,HS-grad,9,Married,Exec-managerial,White,Male,0,40,US,>50K
187,43,Private,364782,HS-grad,9,Married,Other-service,White,Male,0,40,US,>50K
188,29,Private,364782,HS-grad,9,Divorced,Sales,White,Female,0,40,US,<=50K
189,21,Other,198996,HS-grad,9,Married,Farming-fishing,White,Male,0,60,US,<=50K
190,41,Private,364782,Some-college,10,Never-married,Craft-repair,White,Male,0,40,US,<=50K
191,42,Private,198996,Some-college,10,Divorced,Prof-specialty,White,Female,0,40,US,<=50K
192,50,Other,198996,HS-grad,9,Married,Farming-fishing,White,Male,0,60,US,>50K
193,23,Other,364782,Some-college,10,Never-married,?,White,Female,0,15,US,<=50K
194,31,Private,198996,Some-college,10,Never-married,Prof-specialty,White,Female,0,45,US,<=50K
195,18,Private,364782,Some-college,10,Never-married,Machine-op-inspct,Black,Female,0,20,US,<=50K
196,20,Private,198996,Some-college,10,Married,Prof-specialty,White,Male,0,50,US,>50K
197,18,Private,364782,HS-grad,9,Divorced,Sales,White,Female,0,40,US,<=50K
198,34,Other,198996,Bachelors,13,Married,Prof-specialty,White,Female,0,40,US,>50K
199,37,Private,198996,HS-grad,9,Married,Farming-fishing,White,Male,0,30,US,<=50K
200,54,Other,364782,HS-grad,9,Never-married,?,White,Female,0,45,US,<=50K
201,20,Private,364782,Some-college,10,Married,Protective-serv,White,Male,0,45,US,<=50K
202,24,Private,198996,Some-college,10,Never-married,Handlers-cleaners,White,Male,0,20,US,<=50K
203,35,Other,198996,Bachelors,13,Married,Other-service,Asian-Pac-Islander,Male,0,40,Non-US,<=50K
204,20,Private,198996,Masters,14,Married,Sales,White,Female,0,40,US,>50K
205,36,Private,198996,<=12th,3,Married,Craft-repair,White,Male,0,60,Non-US,<=50K
206,48,Private,364782,Some-college,10,Never-married,Other-service,White,Male,0,25,US,<=50K
207,29,Private,198996,HS-grad,9,Divorced,Transport-moving,White,Male,0,40,US,<=50K
208,19,Private,364782,Assoc-acdm,12,Divorced,Adm-clerical,White,Male,0,40,US,<=50K
209,37,Private,293690,Assoc-voc,11,Divorced,Adm-clerical,White,Female,0,40,US,<=50K
210,30,Other,198996,HS-grad,9,Married,Prof-specialty,White,Male,0,40,US,>50K
211,40,Private,364782,Bachelors,13,Divorced,Adm-clerical,White,Female,0,40,US,<=50K
212,42,Private,198996,Some-college,10,Married,Exec-managerial,White,Female,0,60,US,>50K
213,38,Other,198996,HS-grad,9,Never-married,?,White,Male,0,30,US,<=50K
214,36,Government,364782,HS-grad,9,Never-married,Adm-clerical,White,Male,0,40,US,<=50K
215,18,Other,198996,<=12th,5,Never-married,Other-service,White,Female,0,20,US,<=50K
216,43,Private,198996,Masters,14,Married,Exec-managerial,Asian-Pac-Islander,Male,0,50,Non-US,<=50K
217,33,Other,198996,Masters,14,Married,Exec-managerial,White,Male,0,50,US,>50K
218,39,Private,364782,Assoc-voc,11,Married,Adm-clerical,White,Female,0,40,US,<=50K
219,21,Private,364782,Some-college,10,Never-married,Other-service,White,Female,0,40,US,<=50K
220,42,Other,364782,Bachelors,13,Married,Prof-specialty,White,Male,0,45,US,<=50K
221,38,Other,198996,<=12th,6,Never-married,Transport-moving,White,Male,0,40,US,<=50K
222,47,Private,198996,HS-grad,9,Married,Farming-fishing,White,Male,0,60,US,<=50K
223,22,Private,364782,Assoc-voc,11,Married,Tech-support,White,Male,0,40,US,<=50K
224,61,Other,198996,HS-grad,9,Divorced,Sales,White,Male,0,20,US,<=50K
225,37,Private,198996,HS-grad,9,Married,Adm-clerical,White,Male,0,40,US,<=50K
226,34,Other,364782,<=12th,6,Never-married,?,White,Female,0,30,US,<=50K
227,48,Other,198996,Assoc-voc,11,Married,Sales,White,Male,0,30,US,<=50K
228,46,Private,198996,Masters,14,Married,Prof-specialty,White,Female,0,50,US,>50K
229,43,Private,364782,Bachelors,13,Divorced,Exec-managerial,Black,Female,0,60,US,<=50K
230,18,Private,364782,Some-college,10,Never-married,Handlers-cleaners,White,Female,0,30,US,<=50K
231,48,Other,198996,Masters,14,Married,Prof-specialty,White,Male,0,50,US,<=50K
232,22,Private,198996,Bachelors,13,Married,Prof-specialty,Asian-Pac-Islander,Male,0,40,Non-US,>50K
233,37,Private,198996,Some-college,10,Married,Craft-repair,White,Male,0,40,US,<=50K
234,33,Government,198996,Bachelors,13,Married,Prof-specialty,Asian-Pac-Islander,Male,0,50,Non-US,>50K
235,49,Private,364782,Some-college,10,Divorced,Adm-clerical,White,Male,0,20,US,<=50K
236,45,Private,364782,<=12th,8,Never-married,Other-service,White,Female,0,20,US,<=50K
237,45,Private,198996,Masters,14,Widowed,Prof-specialty,White,Female,0,40,US,>50K
238,46,Private,198996,Some-college,10,Married,Farming-fishing,White,Male,0,30,US,<=50K
239,44,Other,364782,HS-grad,9,Married,Sales,White,Male,0,40,US,<=50K
240,35,Private,364782,Some-college,10,Separated,Sales,White,Female,0,40,US,<=50K
241,24,Other,198996,<=12th,8,Never-married,Transport-moving,White,Male,0,40,Non-US,<=50K
242,21,Private,364782,HS-grad,9,Never-married,Exec-managerial,White,Female,0,40,US,<=50K
243,32,Private,364782,Assoc-voc,11,Separated,Other-service,White,Female,0,30,US,<=50K
244,35,Government,364782,Bachelors,13,Married,Tech-support,White,Male,0,40,US,<=50K
245,38,Private,364782,Masters,14,Married,Exec-managerial,White,Female,0,60,US,<=50K
246,36,Private,364782,HS-grad,9,Divorced,Adm-clerical,White,Female,0,40,US,<=50K
247,44,Other,198996,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,>50K
248,35,Other,364782,Some-college,10,Married,Adm-clerical,White,Female,0,35,US,<=50K
249,44,Other,364782,Bachelors,13,Married,Exec-managerial,White,Male,0,35,US,>50K
250,17,Private,364782,HS-grad,9,Divorced,Other-service,White,Female,0,40,US,<=50K
251,18,Other,364782,<=12th,6,Never-married,?,White,Female,0,30,US,<=50K
252,52,Private,198996,HS-grad,9,Married,Adm-clerical,White,Male,0,40,US,<=50K
253,50,Private,364782,Bachelors,13,Divorced,Other-service,White,Female,0,40,US,<=50K
254,35,Private,198996,Prof-school,15,Married,Prof-specialty,White,Male,0,50,US,>50K
255,32,Private,364782,<=12th,7,Divorced,Sales,White,Female,0,20,US,<=50K
256,43,Other,364782,Bachelors,13,Never-married,Exec-managerial,Black,Female,0,35,US,>50K
257,39,Private,364782,HS-grad,9,Divorced,Other-service,White,Female,0,50,US,<=50K
258,44,Private,364782,HS-grad,9,Never-married,Other-service,White,Male,0,35,US,<=50K
259,25,Other,198996,Some-college,10,Married,Exec-managerial,White,Male,0,40,US,<=50K
260,21,Private,198996,<=12th,4,Widowed,Machine-op-inspct,White,Male,0,40,US,<=50K
261,28,Private,198996,<=12th,5,Married,Craft-repair,White,Male,0,40,US,<=50K
262,32,Private,198996,HS-grad,9,Married,Sales,White,Male,0,25,US,<=50K
263,18,Private,198996,<=12th,7,Married,Handlers-cleaners,White,Male,0,60,US,<=50K
264,51,Private,364782,HS-grad,9,Divorced,Tech-support,White,Female,0,40,US,<=50K
265,33,Private,364782,Some-college,10,Married,Sales,White,Female,0,20,US,<=50K
266,45,Government,364782,Some-college,10,Married,Exec-managerial,White,Female,0,40,US,<=50K
267,21,Private,198996,HS-grad,9,Never-married,Sales,White,Male,0,45,US,<=50K
268,45,Private,198996,Some-college,10,Married,Machine-op-inspct,Other,Female,0,50,US,<=50K
269,53,Other,198996,Some-college,10,Married,?,White,Male,0,40,US,<=50K
270,35,Private,364782,Some-college,10,Divorced,Machine-op-inspct,White,Male,0,40,US,<=50K
271,28,Private,198996,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,<=50K
272,34,Private,198996,Bachelors,13,Married,Exec-managerial,White,Female,0,60,US,<=50K
273,27,Private,198996,Masters,14,Never-married,Prof-specialty,White,Male,0,40,US,<=50K
274,33,Private,364782,Bachelors,13,Never-married,Sales,White,Female,0,20,US,<=50K
275,29,Private,364782,Some-college,10,Divorced,Tech-support,Asian-Pac-Islander,Female,0,20,US,<=50K
276,40,Private,198996,<=12th,10,Separated,Craft-repair,Black,Female,0,40,US,<=50K
277,46,Other,198996,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,<=50K
278,22,Private,198996,<=12th,4,Married,Machine-op-inspct,Asian-Pac-Islander,Male,0,40,Non-US,<=50K
279,47,Private,364782,HS-grad,9,Never-married,Craft-repair,White,Male,0,40,US,<=50K
280,40,Private,364782,Some-college,10,Never-married,Adm-clerical,White,Female,0,30,US,<=50K
281,37,Private,364782,HS-grad,9,Married,Adm-clerical,White,Male,0,40,Non-US,>50K
282,39,Private,198996,Some-college,10,Divorced,Transport-moving,White,Male,0,40,US,<=50K
283,21,Other,364782,Some-college,10,Never-married,?,White,Male,0,20,US,<=50K
284,51,Government,198996,Prof-school,15,Never-married,Prof-specialty,White,Male,0,50,US,<=50K
285,22,Private,364782,Some-college,10,Never-married,Exec-managerial,White,Female,0,40,US,<=50K
286,32,Other,198996,HS-grad,9,Never-married,Craft-repair,White,Male,0,40,US,<=50K
287,35,Private,198996,<=12th,2,Married,Exec-managerial,White,Male,0,25,Non-US,>50K
288,35,Government,364782,Masters,14,Widowed,Exec-managerial,Black,Female,0,50,US,>50K
289,38,Private,198996,HS-grad,9,Divorced,Transport-moving,White,Male,0,40,US,<=50K
290,42,Private,364782,Some-college,10,Never-married,Other-service,Black,Male,0,40,US,<=50K
291,31,Private,364782,<=12th,6,Never-married,Adm-clerical,Black,Female,0,40,US,<=50K
292,35,Private,198996,Masters,14,Married,Prof-specialty,White,Male,0,40,US,<=50K
293,40,Other,364782,HS-grad,9,Divorced,Exec-managerial,White,Male,0,40,US,>50K
294,21,Private,364782,Some-college,10,Never-married,Handlers-cleaners,White,Female,0,15,US,<=50K
295,33,Private,364782,HS-grad,9,Separated,Exec-managerial,White,Female,0,40,US,<=50K
296,49,Private,364782,HS-grad,9,Never-married,Other-service,White,Female,0,30,US,<=50K
297,48,Private,198996,Masters,14,Married,Exec-managerial,White,Male,0,50,US,>50K
298,28,Private,198996,Some-college,10,Married,Machine-op-inspct,Amer-Indian-Eskimo,Male,0,40,Non-US,<=50K
299,48,Other,198996,Doctorate,16,Married,Prof-specialty,White,Male,0,50,US,>50K
300,18,Private,364782,Some-college,10,Never-married,Handlers-cleaners,White,Male,0,40,US,<=50K
301,25,Other,198996,Some-college,10,Married,Sales,Asian-Pac-Islander,Male,0,50,Non-US,<=50K
302,22,Private,198996,HS-grad,9,Never-married,Sales,White,Male,0,40,US,<=50K
303,17,Other,198996,<=12th,4,Married,Exec-managerial,White,Male,0,45,US,<=50K
304,40,Government,198996,Masters,14,Married,Exec-managerial,Asian-Pac-Islander,Male,0,40,Non-US,<=50K
305,23,Other,364782,HS-grad,9,Married,Exec-managerial,White,Male,0,60,US,<=50K
306,40,Government,364782,Some-college,10,Married,Exec-managerial,White,Male,0,50,US,>50K
307,29,Private,364782,HS-grad,9,Married,Sales,White,Female,0,40,US,<=50K
