,Age,Workclass,fnlwgt,Education,Education.Num,Marital.Status,Occupation,Race,Sex,Capital.Gain,Hours.per.week,Country,Salary
691,24,Private,140027,Some-college,10,Never-married,Machine-op-inspct,Black,Female,0,45,US,<=50K
16796,48,Private,83444,Assoc-voc,11,Married,Exec-managerial,White,Male,0,43,US,>50K
10296,42,Private,340234,HS-grad,9,Married,Tech-support,Asian-Pac-Islander,Male,15024,40,US,>50K
18472,32,Private,240888,Assoc-acdm,12,Divorced,Adm-clerical,White,Female,0,40,US,<=50K
30060,20,Private,190273,<=12th,8,Never-married,Other-service,White,Male,0,35,US,<=50K
1949,40,Private,102606,Masters,14,Married,Exec-managerial,White,Male,0,40,US,>50K
17350,30,Government,191777,HS-grad,9,Never-married,Protective-serv,Black,Female,0,40,US,<=50K
8499,66,Other,107744,Some-college,10,Married,?,White,Male,0,40,US,<=50K
16868,53,Private,178356,Assoc-acdm,12,Married,Exec-managerial,White,Male,2407,99,US,<=50K
27459,38,Private,185330,Some-college,10,Never-married,Craft-repair,White,Female,0,25,US,<=50K
3193,33,Private,637222,<=12th,8,Divorced,Machine-op-inspct,Black,Female,0,40,US,<=50K
26818,25,Private,202033,Bachelors,13,Married,Prof-specialty,White,Male,0,40,US,<=50K
10499,56,Other,162130,<=12th,3,Married,Exec-managerial,White,Male,0,67,US,>50K
26755,23,Private,265356,Bachelors,13,Never-married,Exec-managerial,White,Male,0,40,US,<=50K
7150,23,Private,200207,HS-grad,9,Divorced,Handlers-cleaners,White,Male,0,44,US,<=50K
17438,51,Government,97934,Bachelors,13,Married,Farming-fishing,White,Male,5178,40,US,>50K
31223,29,Government,181282,Bachelors,13,Divorced,Prof-specialty,White,Male,0,50,US,<=50K
1269,44,Government,409505,Bachelors,13,Divorced,Protective-serv,White,Male,0,40,US,<=50K
20879,53,Government,271544,HS-grad,9,Married,Adm-clerical,Black,Male,0,40,US,>50K
11321,75,Other,205860,Some-college,10,Married,Craft-repair,Black,Male,0,40,US,<=50K
23249,37,Government,191364,Assoc-acdm,12,Married,Exec-managerial,White,Male,0,40,Non-US,>50K
20563,62,Other,378239,Masters,14,Married,?,White,Male,0,2,US,>50K
31201,21,Other,176356,Some-college,10,Never-married,?,White,Female,0,10,Non-US,<=50K
25446,35,Private,299353,HS-grad,9,Never-married,Other-service,Black,Female,0,40,US,<=50K
545,32,Private,84179,HS-grad,9,Never-married,Handlers-cleaners,White,Female,0,45,US,<=50K
26304,57,Private,98926,Some-college,10,Widowed,Tech-support,White,Female,0,16,US,<=50K
4617,32,Government,72338,Assoc-voc,11,Never-married,Prof-specialty,Asian-Pac-Islander,Male,0,40,US,<=50K
27380,43,Private,221172,Bachelors,13,Divorced,Exec-managerial,White,Male,0,35,US,<=50K
12081,35,Private,27408,HS-grad,9,Married,Sales,White,Male,0,50,US,<=50K
29571,45,Private,247043,<=12th,7,Married,Craft-repair,White,Male,0,42,US,<=50K
15822,24,Private,169532,Assoc-acdm,12,Never-married,Adm-clerical,White,Female,0,15,US,<=50K
8988,32,Private,204374,Prof-school,15,Married,Prof-specialty,White,Male,0,60,US,>50K
2207,35,Private,47707,HS-grad,9,Never-married,Other-service,Black,Female,0,40,US,<=50K
31758,17,Other,171461,<=12th,6,Never-married,?,White,Female,0,20,US,<=50K
9986,41,Other,170924,Masters,14,Married,Prof-specialty,White,Male,0,40,US,<=50K
20289,40,Private,283724,<=12th,5,Never-married,Craft-repair,Black,Male,0,49,US,<=50K
13060,63,Private,201631,<=12th,5,Married,Farming-fishing,Black,Male,0,40,US,<=50K
3760,37,Other,291518,Bachelors,13,Married,Craft-repair,White,Male,15024,55,US,>50K
15036,55,Private,158702,Some-college,10,Never-married,Adm-clerical,Black,Female,0,45,Non-US,<=50K
701,31,Private,243605,Bachelors,13,Widowed,Sales,White,Female,0,40,Non-US,<=50K
2860,47,Private,102308,Masters,14,Married,Sales,White,Male,0,40,US,>50K
32129,48,Private,350440,Some-college,10,Married,Craft-repair,Asian-Pac-Islander,Male,0,40,Non-US,>50K
5534,39,Private,340091,Some-college,10,Separated,Other-service,White,Female,0,75,US,<=50K
9728,46,Private,205504,HS-grad,9,Divorced,Machine-op-inspct,White,Male,0,20,US,<=50K
14881,36,Private,174938,Bachelors,13,Divorced,Tech-support,White,Male,0,20,US,<=50K
19320,28,Other,78388,<=12th,6,Never-married,?,White,Female,0,38,US,<=50K
11948,25,Private,361307,Bachelors,13,Never-married,Sales,White,Female,0,40,US,<=50K
32526,32,Private,211349,<=12th,6,Married,Transport-moving,White,Male,0,40,US,<=50K
24852,20,Government,163965,HS-grad,9,Never-married,Other-service,Black,Female,0,40,US,<=50K
6208,35,Government,287031,Masters,14,Never-married,Exec-managerial,White,Male,8614,40,US,>50K
1507,42,Private,245317,HS-grad,9,Married,Sales,White,Male,0,50,US,<=50K
14519,39,Private,87556,Masters,14,Never-married,Prof-specialty,White,Male,6849,40,US,<=50K
17994,43,Other,98989,HS-grad,9,Married,Other-service,Amer-Indian-Eskimo,Male,0,40,US,<=50K
22693,48,Private,318331,HS-grad,9,Never-married,Sales,White,Male,0,40,US,<=50K
23040,40,Private,51290,Masters,14,Married,Prof-specialty,White,Male,0,50,US,>50K
15816,35,Private,119992,Assoc-acdm,12,Married,Craft-repair,White,Male,0,45,US,<=50K
4621,18,Other,191117,<=12th,7,Never-married,?,White,Male,0,25,US,<=50K
25180,31,Private,139822,HS-grad,9,Married,Adm-clerical,White,Female,0,40,US,>50K
26602,25,Private,64860,Some-college,10,Married,Adm-clerical,White,Female,0,22,US,<=50K
20815,39,Private,101020,<=12th,8,Married,Machine-op-inspct,White,Male,0,40,US,<=50K
465,37,Private,126708,HS-grad,9,Married,Adm-clerical,White,Female,0,60,US,<=50K
8429,18,Other,256191,HS-grad,9,Never-married,?,Black,Female,0,25,US,<=50K
10124,80,Other,34340,<=12th,4,Widowed,Farming-fishing,White,Male,0,35,US,<=50K
12019,22,Private,235829,Some-college,10,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
32042,32,Private,268147,Assoc-voc,11,Never-married,Tech-support,White,Female,0,60,US,<=50K
31984,41,Private,211731,Some-college,10,Never-married,Adm-clerical,White,Female,0,40,Non-US,<=50K
16259,43,Other,130126,Bachelors,13,Married,Craft-repair,White,Male,0,40,US,>50K
15152,32,Other,62165,Bachelors,13,Married,Exec-managerial,Black,Male,0,40,Non-US,<=50K
20835,42,Private,45363,Assoc-acdm,12,Married,Prof-specialty,White,Male,0,50,US,<=50K
14942,51,Private,85423,HS-grad,9,Married,Sales,White,Male,0,55,US,>50K
4431,21,Private,174503,HS-grad,9,Never-married,Adm-clerical,White,Female,0,30,US,<=50K
13191,43,Other,170230,Bachelors,13,Never-married,Sales,White,Female,0,60,US,<=50K
17387,29,Private,133696,Bachelors,13,Never-married,Prof-specialty,White,Male,8614,45,US,>50K
18776,44,Private,225263,Some-college,10,Divorced,Sales,White,Female,0,46,US,<=50K
23184,29,Private,370242,Some-college,10,Married,Craft-repair,White,Male,0,40,US,<=50K
30274,51,Other,129525,HS-grad,9,Never-married,Sales,White,Male,0,40,Non-US,<=50K
5911,22,Private,117210,Some-college,10,Never-married,Adm-clerical,White,Male,0,25,Non-US,<=50K
21512,32,Private,255424,Bachelors,13,Married,Sales,White,Male,0,60,US,>50K
19368,50,Other,163948,HS-grad,9,Married,Transport-moving,White,Male,0,40,US,>50K
9729,28,Private,198813,HS-grad,9,Never-married,Handlers-cleaners,Black,Female,0,40,US,<=50K
6917,24,Private,284317,Bachelors,13,Never-married,Other-service,White,Female,0,30,US,<=50K
23366,53,Government,200190,Masters,14,Married,Prof-specialty,White,Male,0,55,US,>50K
8811,25,Private,431307,<=12th,6,Married,Protective-serv,Black,Female,0,50,US,<=50K
8390,45,Government,195418,Masters,14,Divorced,Prof-specialty,Black,Male,0,40,US,<=50K
13144,37,Private,194004,<=12th,7,Married,Craft-repair,White,Male,0,25,US,<=50K
29684,17,Private,136363,<=12th,6,Never-married,Other-service,White,Male,0,20,US,<=50K
23334,44,Government,184099,HS-grad,9,Married,Adm-clerical,White,Male,0,40,US,>50K
19079,23,Government,55465,Some-college,10,Never-married,Handlers-cleaners,White,Male,0,40,US,<=50K
1406,30,Private,30226,<=12th,7,Divorced,Sales,White,Male,0,40,US,<=50K
5510,27,Private,113464,<=12th,2,Never-married,Other-service,Other,Male,0,35,Non-US,<=50K
27611,39,Other,50096,Some-college,10,Married,Farming-fishing,White,Male,0,80,US,<=50K
20858,58,Private,234481,<=12th,6,Married,Transport-moving,White,Male,0,40,US,<=50K
26199,43,Government,113324,Bachelors,13,Married,Prof-specialty,White,Male,0,40,US,>50K
25846,75,Other,222789,Bachelors,13,Widowed,?,White,Female,0,6,US,<=50K
22228,56,Private,187295,Bachelors,13,Married,Prof-specialty,White,Male,0,40,US,>50K
29382,26,Other,294400,HS-grad,9,Married,Protective-serv,White,Male,0,38,US,<=50K
26800,27,Private,119793,Some-college,10,Married,Craft-repair,White,Male,0,55,Non-US,<=50K
26078,19,Private,208506,Some-college,10,Never-married,Exec-managerial,White,Female,0,28,US,<=50K
23532,24,Private,116968,Bachelors,13,Never-married,Exec-managerial,White,Male,0,45,US,<=50K
11881,56,Private,53366,HS-grad,9,Married,Transport-moving,White,Male,0,40,US,<=50K
19461,19,Other,258026,HS-grad,9,Never-married,?,White,Female,0,16,US,<=50K
556,35,Private,54576,HS-grad,9,Married,Machine-op-inspct,White,Male,0,40,US,<=50K
4711,45,Government,311671,Assoc-voc,11,Married,Protective-serv,White,Male,3908,40,US,<=50K
18632,47,Private,61885,Bachelors,13,Married,Prof-specialty,White,Male,15024,50,US,>50K
19061,19,Private,125938,<=12th,8,Never-married,Other-service,White,Male,0,40,Non-US,<=50K
28459,29,Private,152461,Bachelors,13,Never-married,Prof-specialty,White,Female,14344,50,US,>50K
15654,50,Private,211319,Bachelors,13,Married,Exec-managerial,White,Male,7298,50,US,>50K
12363,37,Government,249392,Assoc-voc,11,Married,Protective-serv,White,Male,0,40,US,>50K
20796,30,Private,302438,HS-grad,9,Never-married,Machine-op-inspct,White,Male,0,40,US,<=50K
15510,21,Other,129345,Some-college,10,Never-married,Protective-serv,White,Male,0,40,US,<=50K
19949,48,Private,50880,Some-college,10,Married,Craft-repair,White,Male,0,40,Non-US,<=50K
19073,45,Other,119835,<=12th,4,Divorced,?,Amer-Indian-Eskimo,Male,0,48,US,<=50K
20987,52,Private,163998,HS-grad,9,Married,Sales,White,Male,99999,45,US,>50K
13410,25,Private,203871,Assoc-voc,11,Married,Prof-specialty,White,Female,0,40,US,>50K
14414,32,Private,857532,HS-grad,9,Never-married,Machine-op-inspct,Black,Male,0,40,US,<=50K
3000,31,Private,259931,<=12th,4,Married,Machine-op-inspct,White,Male,0,40,US,<=50K
8145,41,Private,207685,HS-grad,9,Married,Transport-moving,White,Male,0,45,Non-US,<=50K
32099,55,Private,118993,Some-college,10,Separated,Exec-managerial,White,Female,0,10,US,<=50K
14193,17,Private,166290,<=12th,5,Never-married,Other-service,White,Female,0,20,US,<=50K
7383,50,Private,144361,HS-grad,9,Married,Machine-op-inspct,White,Male,0,50,US,>50K
13813,31,Private,43819,Bachelors,13,Married,Prof-specialty,White,Female,7688,43,US,>50K
8891,20,Private,167787,Some-college,10,Never-married,Sales,White,Female,0,20,US,<=50K
10476,56,Private,157749,Some-college,10,Married,Farming-fishing,White,Male,0,60,US,>50K
9952,30,Other,137613,Masters,14,Married,Prof-specialty,Asian-Pac-Islander,Male,0,17,Non-US,<=50K
30844,36,Private,134367,HS-grad,9,Divorced,Other-service,White,Female,0,30,US,<=50K
11361,40,Private,226388,HS-grad,9,Married,Craft-repair,Black,Male,0,40,US,<=50K
24883,38,Private,160192,HS-grad,9,Married,Craft-repair,White,Male,0,44,US,<=50K
15053,32,Private,309513,HS-grad,9,Married,Craft-repair,White,Male,0,50,US,<=50K
5919,57,Private,365683,HS-grad,9,Divorced,Machine-op-inspct,White,Female,0,40,US,>50K
19415,25,Private,185287,Some-college,10,Never-married,Adm-clerical,White,Male,0,40,US,<=50K
10635,36,Government,184556,Bachelors,13,Married,Exec-managerial,White,Female,0,40,US,<=50K
21409,31,Private,289731,Some-college,10,Married,Craft-repair,White,Male,0,40,US,<=50K
23099,20,Other,327462,<=12th,6,Divorced,?,White,Female,0,40,US,<=50K
3802,22,Private,198148,Some-college,10,Never-married,Adm-clerical,White,Male,0,50,US,<=50K
7841,28,Private,122922,HS-grad,9,Never-married,Exec-managerial,White,Female,0,50,US,<=50K
11916,45,Other,81853,Some-college,10,Married,Adm-clerical,Asian-Pac-Islander,Female,0,40,US,>50K
4570,58,Private,233193,HS-grad,9,Widowed,Adm-clerical,White,Female,0,27,US,<=50K
3366,39,Private,33487,<=12th,7,Married,Machine-op-inspct,White,Male,0,40,US,<=50K
14125,30,Private,248588,<=12th,8,Divorced,Other-service,White,Female,0,40,US,<=50K
5954,29,Private,201454,Some-college,10,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
13615,17,Private,193199,<=12th,7,Never-married,Sales,White,Female,0,12,Non-US,<=50K
5533,26,Private,164583,HS-grad,9,Divorced,Sales,White,Female,0,30,US,<=50K
4879,42,Other,55764,Assoc-acdm,12,Divorced,Prof-specialty,Black,Male,0,40,US,<=50K
13249,33,Other,332379,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,>50K
13416,29,Private,224215,Some-college,10,Married,Craft-repair,White,Male,0,40,US,>50K
5362,60,Private,224097,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,<=50K
22750,40,Private,34987,Bachelors,13,Never-married,Sales,White,Male,0,53,US,<=50K
20834,47,Private,115613,HS-grad,9,Married,Craft-repair,White,Male,0,50,US,>50K
17946,24,Private,206861,Bachelors,13,Never-married,Adm-clerical,White,Male,0,40,US,<=50K
3245,48,Private,235646,Some-college,10,Married,Sales,White,Male,3103,40,US,>50K
6614,34,Private,177675,Bachelors,13,Married,Tech-support,White,Male,0,40,US,>50K
28077,34,Private,133122,Bachelors,13,Married,Exec-managerial,White,Male,0,40,US,<=50K
27831,54,Private,511668,Doctorate,16,Married,Exec-managerial,White,Male,0,43,US,>50K
5902,30,Other,243665,HS-grad,9,Married,Sales,White,Male,0,50,US,<=50K
876,23,Private,153044,HS-grad,9,Never-married,Handlers-cleaners,Black,Female,0,7,US,<=50K
13041,53,Private,95864,HS-grad,9,Never-married,Adm-clerical,White,Male,0,35,US,<=50K
11235,35,Private,340260,HS-grad,9,Divorced,Craft-repair,White,Female,0,48,US,<=50K
1961,51,Government,159755,Masters,14,Married,Prof-specialty,White,Male,0,40,US,>50K
877,38,Private,411797,Assoc-voc,11,Divorced,Adm-clerical,White,Female,0,40,US,<=50K
26083,71,Other,38822,Masters,14,Married,Exec-managerial,White,Male,99999,40,US,>50K
1299,22,Private,58222,HS-grad,9,Married,Craft-repair,White,Male,0,40,US,<=50K
6228,24,Private,336088,HS-grad,9,Divorced,Exec-managerial,Amer-Indian-Eskimo,Female,0,50,US,<=50K
5396,17,Private,265657,<=12th,7,Never-married,Other-service,White,Male,0,25,US,<=50K
9612,55,Private,174478,<=12th,6,Never-married,Other-service,White,Male,0,29,US,<=50K
9739,36,Other,160120,Bachelors,13,Married,Sales,Other,Male,0,45,Non-US,<=50K
4209,26,Private,103700,Some-college,10,Never-married,Tech-support,White,Female,0,40,US,<=50K
4467,40,Private,123557,Some-college,10,Married,Sales,White,Male,0,40,US,<=50K
43,49,Private,94638,HS-grad,9,Separated,Adm-clerical,White,Female,0,40,US,<=50K
1477,26,Private,183077,Assoc-voc,11,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
16607,40,Private,240504,Bachelors,13,Married,Sales,White,Male,0,45,US,>50K
21852,31,Other,36592,HS-grad,9,Married,Farming-fishing,White,Male,0,91,US,<=50K
1163,54,Private,96062,Assoc-acdm,12,Married,Tech-support,White,Male,0,40,US,>50K
550,46,Other,245724,Some-college,10,Divorced,Exec-managerial,White,Male,0,50,US,<=50K
26047,41,Other,33126,Bachelors,13,Married,Farming-fishing,White,Male,0,40,US,>50K
31743,38,Government,161463,Prof-school,15,Married,Prof-specialty,Black,Male,0,40,US,>50K
20301,28,Private,111696,HS-grad,9,Separated,Craft-repair,White,Male,0,40,US,<=50K
4872,39,Private,172538,HS-grad,9,Married,Prof-specialty,White,Male,0,50,US,>50K
1927,45,Private,188386,HS-grad,9,Married,Handlers-cleaners,White,Male,0,45,US,<=50K
12331,36,Private,102729,Some-college,10,Never-married,Craft-repair,White,Male,0,40,US,<=50K
31248,34,Private,130369,HS-grad,9,Divorced,Transport-moving,White,Female,1151,48,Non-US,<=50K
17744,41,Private,150755,Doctorate,16,Married,Exec-managerial,White,Male,15024,50,Non-US,>50K
8117,35,Other,198841,Prof-school,15,Married,Prof-specialty,White,Male,0,50,US,>50K
5131,47,Other,223944,Some-college,10,Married,Adm-clerical,White,Female,0,30,US,<=50K
6356,49,Other,204241,Bachelors,13,Never-married,Sales,White,Male,0,45,US,<=50K
23815,71,Other,66624,Bachelors,13,Married,Exec-managerial,White,Male,0,60,US,>50K
7344,46,Private,160061,Some-college,10,Married,Machine-op-inspct,Black,Male,0,40,US,<=50K
19375,44,Private,29762,HS-grad,9,Divorced,Transport-moving,White,Male,0,68,US,<=50K
21323,26,Private,257405,<=12th,3,Never-married,Farming-fishing,Black,Male,0,40,Non-US,<=50K
4905,43,Private,116852,HS-grad,9,Married,Exec-managerial,White,Female,0,36,Non-US,>50K
24869,37,Other,154641,HS-grad,9,Never-married,Farming-fishing,White,Male,0,86,US,<=50K
21644,52,Other,254285,Bachelors,13,Married,Prof-specialty,White,Male,0,40,US,<=50K
16984,75,Other,248833,HS-grad,9,Married,?,White,Female,2653,14,US,<=50K
10047,32,Private,339773,Some-college,10,Married,Exec-managerial,White,Male,0,40,US,>50K
17973,25,Private,67467,HS-grad,9,Married,Tech-support,White,Male,0,40,US,<=50K
25410,45,Government,53123,<=12th,7,Married,Other-service,White,Female,0,25,US,<=50K
18728,58,Government,34878,Bachelors,13,Divorced,Prof-specialty,White,Female,0,50,US,<=50K
22967,25,Private,256620,Bachelors,13,Separated,Exec-managerial,White,Male,0,40,US,<=50K
8983,53,Private,194995,<=12th,3,Married,Craft-repair,White,Male,0,45,Non-US,<=50K
13755,23,Private,37783,Some-college,10,Never-married,Sales,White,Female,0,40,US,<=50K
23643,47,Private,302711,<=12th,7,Divorced,Adm-clerical,White,Female,0,40,US,<=50K
1727,29,Private,247445,HS-grad,9,Divorced,Sales,White,Male,0,45,US,<=50K
32357,35,Private,89559,Some-college,10,Divorced,Adm-clerical,White,Female,0,55,US,<=50K
21564,41,Private,153031,Some-college,10,Married,Sales,White,Male,0,65,US,>50K
5686,69,Other,159191,Some-college,10,Widowed,Adm-clerical,White,Female,0,38,US,<=50K
20723,46,Private,185385,HS-grad,9,Married,Sales,White,Male,0,65,US,>50K
11547,23,Private,220168,HS-grad,9,Never-married,Sales,Black,Female,0,25,Non-US,<=50K
12092,52,Private,204447,HS-grad,9,Married,Machine-op-inspct,White,Male,4386,40,US,>50K
14399,56,Other,357118,Bachelors,13,Never-married,Exec-managerial,White,Female,0,60,US,<=50K
14706,62,Private,96099,HS-grad,9,Never-married,Craft-repair,White,Male,0,40,US,<=50K
2346,36,Other,64875,Assoc-voc,11,Married,Tech-support,White,Male,0,60,US,<=50K
16654,21,Private,283757,Some-college,10,Never-married,Sales,White,Male,0,40,US,<=50K
6457,62,Private,218009,HS-grad,9,Married,Transport-moving,White,Male,0,60,US,>50K
10115,21,Private,235442,HS-grad,9,Married,Adm-clerical,White,Male,0,40,US,<=50K
15266,18,Other,234648,<=12th,7,Never-married,?,Black,Male,0,15,US,<=50K
31949,47,Government,197038,Bachelors,13,Married,Prof-specialty,White,Male,0,50,US,<=50K
20908,55,Private,342121,Some-college,10,Married,Tech-support,White,Male,0,40,US,<=50K
7432,46,Private,114032,Some-college,10,Married,Tech-support,White,Male,0,45,US,>50K
3499,26,Private,139098,Masters,14,Married,Prof-specialty,White,Male,5013,40,US,<=50K
15097,23,Private,368739,Bachelors,13,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
26460,32,Private,178623,HS-grad,9,Never-married,Other-service,Black,Female,0,40,Non-US,<=50K
22830,42,Private,174112,Masters,14,Never-married,Prof-specialty,White,Female,0,40,US,<=50K
10847,42,Private,33002,HS-grad,9,Married,Exec-managerial,White,Male,0,48,US,<=50K
12536,35,Private,45607,Some-college,10,Never-married,Other-service,White,Male,0,40,US,<=50K
11730,30,Private,447739,Doctorate,16,Never-married,Prof-specialty,White,Male,0,60,US,<=50K
5849,19,Private,167140,Some-college,10,Never-married,Other-service,White,Male,0,24,US,<=50K
5511,48,Private,94461,HS-grad,9,Widowed,Machine-op-inspct,White,Female,0,16,US,<=50K
9957,39,Private,149943,Masters,14,Never-married,Sales,Asian-Pac-Islander,Male,0,40,Non-US,<=50K
31632,43,Private,225193,HS-grad,9,Married,Sales,White,Male,0,40,US,<=50K
31956,21,Private,63899,<=12th,7,Never-married,Adm-clerical,White,Female,0,40,US,<=50K
19256,30,Private,119164,Bachelors,13,Never-married,Other-service,White,Male,0,40,Non-US,<=50K
11784,38,Other,134069,Masters,14,Married,Exec-managerial,White,Male,7298,60,US,>50K
16865,51,Private,163948,Assoc-voc,11,Married,Tech-support,White,Male,0,40,US,>50K
17276,21,Private,203003,<=12th,6,Married,Craft-repair,White,Male,0,40,US,<=50K
5054,21,Private,321666,HS-grad,9,Never-married,Craft-repair,White,Male,594,40,US,<=50K
12616,49,Private,232586,<=12th,3,Married,Craft-repair,White,Male,0,40,US,<=50K
2605,31,Private,209276,HS-grad,9,Married,Other-service,Other,Male,0,40,US,<=50K
29492,25,Other,133373,Bachelors,13,Never-married,Sales,White,Male,0,80,US,<=50K
30453,22,Private,408383,Some-college,10,Never-married,Transport-moving,White,Male,0,40,US,<=50K
5276,44,Private,116632,Masters,14,Married,Exec-managerial,White,Male,0,50,US,>50K
592,60,Private,39352,<=12th,4,Never-married,Transport-moving,White,Male,0,48,US,>50K
6408,24,Private,107882,HS-grad,9,Never-married,Sales,White,Female,0,40,US,<=50K
29277,39,Private,115422,HS-grad,9,Married,Farming-fishing,White,Male,0,30,US,<=50K
10603,20,Private,279763,<=12th,7,Never-married,Craft-repair,Black,Male,0,25,US,<=50K
20367,32,Private,317809,Bachelors,13,Married,Exec-managerial,White,Male,4064,50,US,<=50K
11055,20,Private,194138,<=12th,7,Never-married,Craft-repair,White,Male,0,20,US,<=50K
7236,40,Private,204046,<=12th,6,Divorced,Transport-moving,White,Male,0,40,US,<=50K
19640,28,Other,51461,HS-grad,9,Married,Farming-fishing,White,Male,0,40,US,<=50K
14905,55,Private,286230,<=12th,7,Divorced,Sales,White,Female,0,20,US,<=50K
14417,25,Private,138765,Bachelors,13,Never-married,Prof-specialty,White,Male,0,20,US,<=50K
18090,24,Private,111445,HS-grad,9,Never-married,Sales,White,Male,0,38,US,<=50K
21943,17,Private,295991,<=12th,6,Never-married,Adm-clerical,White,Female,0,20,US,<=50K
27201,19,Other,43739,HS-grad,9,Never-married,?,White,Male,0,40,US,<=50K
1687,37,Private,171150,HS-grad,9,Married,Exec-managerial,White,Male,0,50,US,>50K
25501,38,Other,321943,Doctorate,16,Married,Prof-specialty,White,Male,0,40,US,>50K
30211,56,Other,140558,HS-grad,9,Married,Sales,White,Male,0,40,US,<=50K
2410,51,Private,41474,<=12th,6,Married,Other-service,White,Male,0,40,Non-US,<=50K
4289,23,Private,208598,Some-college,10,Never-married,Sales,White,Male,0,45,US,<=50K
9013,46,Other,119904,Prof-school,15,Never-married,Prof-specialty,White,Female,0,55,US,>50K
32479,64,Other,222966,<=12th,4,Married,Other-service,Black,Female,0,40,US,<=50K
7933,40,Private,136244,Some-college,10,Married,Adm-clerical,White,Female,0,40,US,<=50K
9989,35,Private,186489,<=12th,5,Married,Handlers-cleaners,White,Male,0,46,US,<=50K
6269,24,Private,86745,Bachelors,13,Married,Prof-specialty,Asian-Pac-Islander,Female,0,40,Non-US,<=50K
7370,42,Private,166740,Bachelors,13,Divorced,Prof-specialty,White,Male,0,40,US,<=50K
32260,39,Government,232036,Some-college,10,Married,Adm-clerical,White,Male,0,40,US,>50K
12677,47,Private,193047,Doctorate,16,Married,Exec-managerial,White,Male,99999,50,US,>50K
2393,20,Private,241951,HS-grad,9,Never-married,Handlers-cleaners,White,Male,0,45,US,<=50K
19950,41,Government,356934,Some-college,10,Married,Prof-specialty,White,Male,0,44,US,>50K
4086,50,Other,174964,<=12th,6,Married,?,White,Male,0,99,US,<=50K
31529,23,Private,288771,Some-college,10,Never-married,Adm-clerical,White,Female,0,30,US,<=50K
11952,43,Other,174090,HS-grad,9,Married,Adm-clerical,White,Female,0,20,US,>50K
